
,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
127,Chris Johnson,NYJ,29,16,6,0,0,0,0,0,155,663,4.28,1,34,24,151,6.29,1,RB,91,,30,
128,Denard Robinson,JAX,24,13,9,0,1,0,0,0,135,582,4.31,4,31,23,124,5.39,0,RB,91,,32,
129,Trent Richardson,IND,24,15,12,0,0,0,0,0,159,519,3.26,3,34,27,229,8.48,0,RB,91,,31,
130,Larry Fitzgerald,ARI,31,14,13,0,0,0,0,0,0,0,,0,103,63,784,12.44,2,WR,90,,54,
131,Mike Glennon,TAM,25,6,5,117,203,1417,10,6,10,49,4.90,0,0,0,0,,0,QB,90,,33,
132,Reggie Wayne,IND,36,15,15,0,0,0,0,0,0,0,,0,116,64,779,12.17,2,WR,90,,55,
133,Robert Griffin,WAS,24,9,7,147,214,1694,4,6,38,176,4.63,1,0,0,0,,0,QB,89,,34,
134,Shaun Hill,STL,34,9,8,145,229,1657,8,7,10,10,1.00,1,1,1,0,0.00,0,QB,89,,35,
135,Dwayne Allen,IND,24,13,13,0,0,0,0,0,0,0,,0,50,29,395,13.62,8,TE,88,,13,
136,LeGarrette Blount,2TM,28,16,1,0,0,0,0,0,125,547,4.38,5,12,10,54,5.40,0,RB,88,,33,
137,Kirk Cousins,WAS,26,6,5,126,204,1710,10,9,7,20,2.86,0,0,0,0,,0,QB,88,,36,
138,Charlie Whitehurst,TEN,32,7,5,105,185,1326,7,2,20,90,4.50,0,0,0,10,,0,QB,87,,37,
139,Brandin Cooks,NOR,21,10,7,0,0,0,0,0,7,73,10.43,1,69,53,550,10.38,3,WR,86,,56,
140,Zach Ertz,PHI,24,16,5,0,0,0,0,0,0,0,,0,89,58,702,12.10,3,TE,86,,14,
141,Darren McFadden,OAK,27,16,12,0,1,0,0,0,155,534,3.45,2,56,36,212,5.89,0,RB,85,,35,
142,Roy Helu,WAS,26,14,0,0,0,0,0,0,40,216,5.40,1,47,42,477,11.36,2,RB,85,,34,
143,Jared Cook,STL,27,16,6,0,0,0,0,0,1,0,0.00,0,99,52,634,12.19,3,TE,81,,15,
144,Percy Harvin,2TM,26,13,12,0,0,0,0,0,33,202,6.12,1,78,51,483,9.47,1,WR,79,,57,
145,Charles Clay,MIA,25,14,14,0,0,0,0,0,0,0,,0,84,58,605,10.43,3,TE,79,,16,
146,Bobby Rainey,TAM,27,15,5,0,1,0,0,0,94,406,4.32,1,45,33,315,9.55,1,RB,78,,37,
147,Pierre Thomas,NOR,30,11,3,0,0,0,0,0,45,222,4.93,2,55,45,378,8.40,1,RB,78,,38,
148,Bishop Sankey,TEN,22,16,9,0,0,0,0,0,152,569,3.74,2,23,18,133,7.39,0,RB,78,,36,
149,Markus Wheaton,PIT,23,16,11,0,0,0,0,0,4,19,4.75,0,86,53,644,12.15,2,WR,78,,58,
,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
