
Rk,Name,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
142,Stedman Bailey,STL,24,,14,3,46,30,435,14.5,1,38,2.1,31.1,0
143,Devonta Freeman,ATL,22,,16,0,37,30,225,7.5,1,36,1.9,14.1,1
144,Rashad Jennings,NYG,29,RB,11,9,41,30,226,7.5,0,27,2.7,20.5,1
145,Dwayne Allen,IND,24,TE,13,13,50,29,395,13.6,8,41,2.2,30.4,1
146,Donald Brown,SDG,27,,13,3,41,29,211,7.3,0,24,2.2,16.2,1
147,Brandon Gibson,MIA,27,wr,14,5,51,29,295,10.2,1,40,2.1,21.1,2
148,Mark Ingram*,NOR,25,RB,13,9,36,29,145,5.0,0,14,2.2,11.2,3
149,Andrew Quarless,GNB,26,TE,16,11,46,29,323,11.1,3,34,1.8,20.2,0
Rk,,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
150,Paul Richardson,SEA,22,wr,15,6,44,29,271,9.3,1,32,1.9,18.1,1
151,Jacquizz Rodgers,ATL,24,,16,1,40,29,173,6.0,1,14,1.8,10.8,1
152,Justin Hunter,TEN,23,WR,12,8,67,28,498,17.8,3,75,2.3,41.5,0
153,LeSean McCoy*,PHI,26,RB,16,16,37,28,155,5.5,0,18,1.8,9.7,4
154,Danny Amendola,NWE,29,,16,4,42,27,200,7.4,1,21,1.7,12.5,1
155,Jeremy Hill,CIN,22,RB,16,8,32,27,215,8.0,0,38,1.7,13.4,5
156,Lance Kendricks,STL,26,TE,16,14,38,27,259,9.6,5,23,1.7,16.2,0
157,Jerick McKinnon,MIN,22,rb,11,6,41,27,135,5.0,0,17,2.5,12.3,0
158,Trent Richardson,IND,24,RB,15,12,34,27,229,8.5,0,24,1.8,15.3,2
159,Martavis Bryant,PIT,23,,10,3,48,26,549,21.1,8,94,2.6,54.9,0
160,Vernon Davis,SFO,30,TE,14,14,50,26,245,9.4,2,29,1.9,17.5,0
161,Clay Harbor,JAX,27,TE,13,8,35,26,289,11.1,1,59,2.0,22.2,0
162,Dexter McCluster,TEN,25,,14,2,36,26,197,7.6,1,25,1.9,14.1,1
163,Tim Wright,NWE,24,,16,2,33,26,259,10.0,6,30,1.6,16.2,0
164,Eric Ebron,DET,21,te,13,7,47,25,248,9.9,1,22,1.9,19.1,0
165,Anthony Fasano,KAN,30,TE,15,13,36,25,226,9.0,4,22,1.7,15.1,0
166,Brian Quick,STL,25,wr,7,7,39,25,375,15.0,3,51,3.6,53.6,0
167,Jonathan Stewart,CAR,27,RB,13,8,31,25,181,7.2,1,22,1.9,13.9,3
168,Jordan Todman,JAX,24,,16,1,37,25,198,7.9,1,26,1.6,12.4,0
169,Kamar Aiken,BAL,25,,16,0,32,24,267,11.1,3,24,1.5,16.7,0
170,Marlon Brown,BAL,23,,14,1,31,24,255,10.6,0,22,1.7,18.2,0
171,Jordan Cameron,CLE,26,TE,10,9,48,24,424,17.7,2,81,2.4,42.4,0
172,Josh Gordon,CLE,23,wr,5,5,47,24,303,12.6,0,32,4.8,60.6,0
173,Chris Johnson,NYJ,29,rb,16,6,34,24,151,6.3,1,26,1.5,9.4,1
174,Jeremy Ross,DET,26,WR,16,13,35,24,314,13.1,1,59,1.5,19.6,5
175,Kyle Rudolph,MIN,25,TE,9,8,34,24,231,9.6,2,23,2.7,25.7,1
176,Dion Sims,MIA,23,,14,2,36,24,284,11.8,2,38,1.7,20.3,0
177,Victor Cruz,NYG,28,,6,6,41,23,337,14.7,1,61,3.8,56.2,0
178,Jeff Cumberland,NYJ,27,TE,16,14,47,23,247,10.7,3,28,1.4,15.4,0
179,Chase Ford,MIN,24,te,11,5,35,23,258,11.2,1,22,2.1,23.5,0
Rk,,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
180,Denard Robinson,JAX,24,RB,13,9,31,23,124,5.4,0,19,1.8,9.5,2
181,De'Anthony Thomas,KAN,21,,12,3,31,23,156,6.8,0,30,1.9,13.0,0
182,Jaron Brown,ARI,24,,16,2,32,22,229,10.4,2,26,1.4,14.3,1
183,Brandon Myers,TAM,29,te,14,6,32,22,190,8.6,0,26,1.6,13.6,0
184,Leon Washington,TEN,32,,16,0,31,22,159,7.2,2,25,1.4,9.9,3
185,Luke Willson,SEA,24,TE,15,10,40,22,362,16.5,3,80,1.5,24.1,0
186,Philly Brown,CAR,23,,13,3,36,21,296,14.1,2,47,1.6,22.8,3
187,Brice Butler,OAK,24,,15,0,35,21,280,13.3,2,55,1.4,18.7,0
188,Dan Herron,IND,25,,16,3,26,21,173,8.2,0,26,1.3,10.8,4
189,Ronnie Hillman,DEN,23,,8,4,34,21,139,6.6,1,16,2.6,17.4,1
190,Austin Seferian-Jenkins,TAM,24,TE,9,9,38,21,221,10.5,2,30,2.3,24.6,1
191,Kenbrell Thompkins,2TM,26,,14,7,48,21,262,12.5,0,50,1.5,18.7,0
192,Damien Williams,MIA,,,15,15,27,21,187,8.9,1,32,1.4,12.5,0
193,Toby Gerhart,JAX,27,rb,14,7,24,20,186,9.3,0,26,1.4,13.3,1
194,Steven Jackson,ATL,31,RB,15,15,27,20,148,7.4,0,17,1.3,9.9,0
195,Richard Rodgers,GNB,22,te,16,5,30,20,225,11.3,2,43,1.3,14.1,0
196,Ben Watson,NOR,34,TE,16,8,31,20,136,6.8,2,15,1.3,8.5,0
197,Rhett Ellison,MIN,26,TE,16,13,26,19,208,10.9,1,40,1.2,13.0,0
198,Ladarius Green,SDG,24,,14,4,25,19,226,11.9,0,28,1.4,16.1,0
199,Derek Hagan,TEN,30,,16,3,34,19,254,13.4,1,38,1.2,15.9,0
200,Kyle Juszczyk,BAL,23,RB,16,14,27,19,182,9.6,1,33,1.2,11.4,3
201,Charles Sims,TAM,24,,8,0,27,19,190,10.0,0,24,2.4,23.8,2
202,C.J. Spiller,BUF,27,rb,9,5,22,19,125,6.6,1,25,2.1,13.9,3
203,Travis Benjamin,CLE,25,,16,0,46,18,314,17.4,3,43,1.1,19.6,2
204,Jack Doyle,IND,24,,16,1,22,18,118,6.6,2,20,1.1,7.4,0
205,Lance Dunbar,DAL,24,,16,0,22,18,217,12.1,0,40,1.1,13.6,0
206,Garrett Graham,HOU,28,TE,11,9,28,18,197,10.9,1,26,1.6,17.9,0
207,Chris Ivory,NYJ,26,RB,16,10,27,18,123,6.8,1,23,1.1,7.7,2
208,Marcedes Lewis,JAX,30,TE,8,8,31,18,206,11.4,2,63,2.3,25.8,0
209,Bruce Miller,SFO,27,RB,16,8,25,18,189,10.5,2,22,1.1,11.8,1
Rk,,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
210,Bishop Sankey,TEN,22,RB,16,9,23,18,133,7.4,0,18,1.1,8.3,2
211,Zac Stacy,STL,23,rb,13,5,23,18,152,8.4,0,17,1.4,11.7,2
212,James Starks,GNB,28,,16,0,29,18,140,7.8,0,28,1.1,8.8,1
213,Andre Williams,NYG,22,rb,16,7,37,18,130,7.2,0,24,1.1,8.1,1
214,Jim Dray,CLE,28,TE,16,8,27,17,242,14.2,1,31,1.1,15.1,0
215,Alfred Morris*,WAS,26,RB,16,16,26,17,155,9.1,0,26,1.1,9.7,2
216,Latavius Murray,OAK,23,,15,3,23,17,143,8.4,0,46,1.1,9.5,1
217,Brandon Tate,CIN,27,,16,4,26,17,193,11.4,1,50,1.1,12.1,2
218,Nick Toon,NOR,26,,8,2,23,17,215,12.6,1,24,2.1,26.9,1
219,Marquess Wilson,CHI,22,wr,7,6,32,17,140,8.2,1,17,2.4,20.0,0
220,Bryce Brown,BUF,23,,7,2,25,16,176,11.0,0,40,2.3,25.1,1
221,Knile Davis,KAN,23,,16,1,25,16,147,9.2,1,70,1.0,9.2,4
222,Daniel Fells,NYG,31,TE,16,9,20,16,188,11.8,4,27,1.0,11.8,1
223,Tre Mason,STL,21,RB,12,9,26,16,148,9.3,1,35,1.3,12.3,2
224,Dennis Pitta,BAL,29,,3,3,21,16,125,7.8,0,24,5.3,41.7,0
225,Dante Rosario,CHI,30,,16,3,22,16,116,7.3,0,22,1.0,7.3,1
226,Robert Turbin,SEA,25,,16,3,20,16,186,11.6,2,34,1.0,11.6,1
227,Albert Wilson,KAN,22,,12,2,28,16,260,16.3,0,48,1.3,21.7,0
228,Donnie Avery,KAN,30,,6,3,26,15,176,11.7,0,27,2.5,29.3,1
229,Alfred Blue,HOU,23,,16,3,18,15,113,7.5,1,22,0.9,7.1,0
230,Corey Fuller,DET,24,,16,2,31,14,212,15.1,1,52,0.9,13.3,1
