
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
201,Randy Bullock,HOU,25,,16,0,,,,,,,,,,,,1,0,
202,Max Bullough,HOU,22,,1,0,,,,,,,,,,,,1,0,
203,Brodrick Bunkley,NOR,31,NT,11,11,,,,,,,,,,,,8,9,
204,Vontaze Burfict,CIN,24,rlb,5,5,0,0,0,0,2,1,0,1,0,0,,15,14,
205,Rex Burkhead,CIN,24,,9,0,,,,,,,,,,,,1,4,
206,Marcus Burley,SEA,24,,13,0,1,24,0,24,5,,,,,,1.0,25,10,
207,Kaelin Burnett,2TM,25,,5,0,,,,,,,,,,,,2,1,
208,Morgan Burnett,GNB,25,SS,15,15,1,32,0,32,5,1,0,2,0,0,1.5,105,38,
209,Miles Burris,OAK,26,MLB,16,16,0,0,0,0,1,,,,,,,77,33,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
210,Isaiah Burse,DEN,23,,12,0,,,,,,0,3,1,0,0,,,,
211,Trey Burton,PHI,23,,15,0,,,,,,,,,,,,4,0,
212,Jarrett Bush,GNB,30,,15,0,0,0,0,0,1,,,,,,,12,6,
213,Josh Bush,2TM,25,,5,0,1,5,0,5,1,,,,,,,3,0,
214,Rafael Bush,NOR,27,fs,10,7,0,0,0,0,3,,,,,,,44,11,
215,Jermon Bushrod,CHI,30,LT,14,14,,,,,,,,,,,,2,0,
216,Brice Butler,OAK,24,,15,0,,,,,,,,,,,,1,0,
217,Crezdon Butler,TAM,27,,11,3,0,0,0,0,1,,,,,,,14,0,
218,Darius Butler,IND,28,,14,4,0,0,0,0,10,3,0,1,7,0,,45,6,
219,Donald Butler,SDG,26,RILB,14,13,0,0,0,0,2,0,0,3,0,0,1.0,45,28,
220,Drew Butler,ARI,25,,15,0,,,,,,,,,,,,1,0,
221,Malcolm Butler,NWE,24,,11,1,0,0,0,0,7,,,,,,,18,1,
222,Victor Butler,2TM,27,,2,0,,,,,,,,,,,,1,1,
223,Carrington Byndom,CAR,22,,3,0,,,,,,,,,,,,1,0,
224,Josh Bynes,DET,25,,13,0,1,17,0,17,1,0,0,1,0,0,,19,4,
225,Jairus Byrd,NOR,28,,4,4,0,0,0,0,2,1,0,0,0,0,,17,5,
226,Travaris Cadet,NOR,25,,15,1,,,,,,0,2,0,0,0,,3,0,
227,Jeremy Cain,CHI,34,,16,0,,,,,,,,,,,,3,1,
228,Andre Caldwell,DEN,29,,16,2,,,,,,0,0,2,0,0,,4,1,
229,Calais Campbell*,ARI,28,LDE,14,14,1,23,0,23,3,1,0,0,0,0,7.0,48,14,
230,Tommie Campbell,JAX,27,,7,0,,,,,,,,,,,,3,2,
231,Chris Canty,BAL,32,RDE,11,11,0,0,0,0,2,1,0,0,0,0,0.5,15,20,
232,Tank Carder,CLE,25,,16,0,,,,,,,,,,,,6,4,1
233,Don Carey,DET,27,,13,3,,,,,,0,0,1,40,1,,12,2,
234,Ka'Deem Carey,CHI,22,,14,0,,,,,,0,0,1,0,0,,0,1,
235,Gabe Carimi,ATL,26,rt,16,7,,,,,,,,,,,,1,0,
236,Brandon Carr,DAL,28,LCB,16,16,0,0,0,0,9,0,0,1,0,0,1.0,54,9,
237,Derek Carr,OAK,23,QB,16,16,,,,,,0,10,4,-30,0,,1,0,
238,Tank Carradine,SFO,25,,9,0,,,,,,,,,,,3.0,16,1,
239,Ryan Carrethers,SDG,23,,6,1,,,,,,,,,,,,12,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
240,Travis Carrie,OAK,24,,13,4,1,28,0,28,8,1,2,2,0,0,,37,7,
241,Derek Carrier,SFO,24,,11,1,,,,,,0,1,1,0,0,,3,0,
242,Alex Carrington,STL,27,,8,0,,,,,,,,,,,,1,0,
243,Nolan Carroll,PHI,27,,16,1,0,0,0,0,4,0,0,1,0,0,,30,1,
244,Glenn Carson,ARI,24,,5,0,,,,,,,,,,,,8,4,
245,Bruce Carter,DAL,26,LLB,13,8,5,72,1,35,11,,,,,,1.0,57,25,
246,Chris Carter,2TM,25,,4,0,,,,,,,,,,,,2,1,
247,Quinton Carter,DEN,26,,11,0,0,0,0,0,1,1,0,0,0,0,1.0,17,4,
248,Tony Carter,DEN,28,,8,0,0,0,0,0,1,0,0,1,20,1,,5,0,
249,Chance Casey,2TM,23,,2,1,0,0,0,0,1,,,,,,,6,1,
250,James Casey,PHI,30,,16,2,,,,,,,,,,,,7,2,
251,Jurrell Casey,TEN,25,RDE,16,16,0,0,0,0,1,,,,,,5.0,45,23,
252,Jonathan Casillas,2TM,27,,13,6,,,,,,1,0,0,0,0,,26,15,
253,Antoine Cason,2TM,28,,14,11,2,81,0,80,6,4,0,2,0,0,,45,14,
254,Matt Cassel,MIN,32,,3,3,,,,,,0,3,2,-29,0,,,,
255,Anthony Castonzo,IND,26,LT,16,16,,,,,,,,,,,,1,0,
256,Chandler Catanzaro,ARI,23,,16,0,,,,,,,,,,,,2,0,
257,Brent Celek,PHI,29,TE,16,15,,,,,,0,1,0,0,0,,2,0,
258,Kam Chancellor*,SEA,26,SS,14,14,1,52,0,52,7,1,0,0,0,0,,80,24,
259,Nate Chandler,CAR,25,RT,11,11,,,,,,,,,,,,2,0,
260,Scott Chandler,BUF,29,te,16,5,,,,,,,,,,,,4,0,
261,Jamar Chaney,OAK,28,,9,0,,,,,,,,,,,,5,0,
262,Josh Chapman,IND,25,LDT,16,15,,,,,,1,0,0,0,0,,18,7,
263,Jamaal Charles*,KAN,28,RB,15,15,,,,,,0,5,1,0,0,,2,0,
264,Stefan Charles,BUF,26,,16,1,,,,,,0,0,1,0,0,3.0,12,11,
265,Chimdi Chekwa,OAK,26,,10,2,0,0,0,0,2,,,,,,,15,1,
