
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1081,Dontari Poe*,KAN,24,NT,16,16,0,0,0,0,1,,,,,,6.0,38,8,
1082,Troy Polamalu,PIT,33,SS,12,12,0,0,0,0,1,1,0,1,13,0,,45,24,
1083,Chris Polk,PHI,25,,14,0,,,,,,0,1,0,0,0,,4,1,
1084,Bernard Pollard,TEN,30,ss,5,5,0,0,0,0,1,,,,,,1.0,22,5,
1085,Tyler Polumbus,WAS,29,rt,11,7,,,,,,,,,,,,1,0,
1086,Christian Ponder,MIN,26,,2,1,,,,,,,,,,,,1,0,
1087,Tracy Porter,WAS,28,,3,1,0,0,0,0,1,,,,,,,3,2,
1088,Paul Posluszny,JAX,30,mlb,7,7,0,0,0,0,1,0,0,1,10,0,2.0,47,22,
1089,Maurkice Pouncey*+,PIT,25,C,16,16,,,,,,,,,,,,1,0,
1090,Jerrell Powe,HOU,27,,16,3,0,0,0,0,1,,,,,,,6,4,
1091,Bilal Powell,NYJ,26,,15,1,,,,,,1,0,0,0,0,,4,2,
1092,Ronald Powell,NOR,23,,14,0,,,,,,,,,,,,1,1,
1093,Ty Powell,BUF,26,,14,0,0,0,0,0,1,,,,,,1.0,10,4,
1094,Jerraud Powers,ARI,27,DB,16,11,3,19,0,12,10,1,0,0,0,0,1.0,49,5,
1095,Jordan Poyer,CLE,23,,16,0,,,,,,1,1,0,0,0,,16,6,
1096,Shaun Prater,MIN,25,,10,0,,,,,,,,,,,,1,0,
1097,De'Andre Presley,CAR,24,,4,0,,,,,,,,,,,,2,0,
1098,Jabari Price,MIN,22,,14,0,,,,,,,,,,,,9,1,
1099,Jay Prosch,HOU,22,rb,16,5,,,,,,,,,,,,1,2,
1100,Chris Prosinski,2TM,27,,11,0,,,,,,,,,,,,8,4,
1101,Calvin Pryor,NYJ,22,SS/FS,16,11,0,0,0,0,2,,,,,,0.5,36,25,
1102,Justin Pugh,NYG,,RT,14,14,,,,,,0,0,2,-2,0,,1,0,
1103,Mike Purcell,SFO,23,,2,0,,,,,,,,,,,,1,0,
1104,Tanner Purdum,NYJ,30,,16,0,,,,,,,,,,,,1,0,
1105,Loucheiz Purifoy,IND,22,,11,0,0,0,0,0,1,1,0,0,0,0,,6,1,
1106,Kelcy Quarles,IND,22,,2,0,0,0,0,0,1,,,,,,1.0,1,0,
1107,Andrew Quarless,GNB,26,TE,16,11,,,,,,0,0,1,0,0,,,,
1108,Brian Quick,STL,25,wr,7,7,,,,,,,,,,,,1,0,
1109,Glover Quin*,DET,28,FS,16,16,7,117,0,56,11,,,,,,,58,16,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1110,Robert Quinn*,STL,24,RDE,16,16,0,0,0,0,6,5,0,0,0,0,10.5,39,7,
1111,Bobby Rainey,TAM,27,rb,15,5,,,,,,0,3,0,0,0,,4,1,
1112,Dominic Raiola,DET,36,C,15,15,,,,,,0,1,0,0,0,,1,0,
1113,Bacarri Rambo,2TM,24,,6,0,2,44,0,28,2,,,,,,,2,2,
1114,Manuel Ramirez,DEN,31,RG/C,16,16,,,,,,,,,,,,4,0,
1115,Joseph Randle,DAL,23,,16,0,,,,,,0,2,0,0,0,,8,0,
1116,Rueben Randle,NYG,23,WR,16,13,,,,,,,,,,,,2,0,
1117,Jay Ratliff,CHI,33,LDT,11,11,,,,,,,,,,,6.5,21,16,
1118,Silas Redd,WAS,22,,15,0,,,,,,0,1,0,0,0,,4,1,
1119,Kevin Reddick,2TM,25,,5,0,,,,,,0,0,1,0,0,,1,0,
1120,Cory Redding,IND,34,LDE,16,16,0,0,0,0,3,,,,,,3.5,27,17,
1121,Marcel Reece*,OAK,29,RB,15,15,,,,,,0,1,0,0,0,,4,1,
1122,Brooks Reed,HOU,27,LOLB,16,13,1,5,0,5,4,,,,,,3.0,25,16,
1123,Jordan Reed,WAS,24,,11,2,,,,,,0,1,1,0,0,,3,0,
1124,Caraun Reid,DET,23,,12,0,0,0,0,0,1,,,,,,,0,2,
1125,Eric Reid,SFO,23,FS,15,15,3,138,0,73,7,,,,,,,35,7,
1126,Riley Reiff,DET,26,LT,15,15,,,,,,0,0,1,0,0,,1,0,
1127,Trevor Reilly,NYJ,26,,14,0,,,,,,,,,,,,8,7,
1128,Mike Remmers,2TM,25,,5,5,,,,,,,,,,,,0,1,
1129,Darrelle Revis*+,NWE,29,LCB,16,16,2,0,0,0,16,1,0,1,0,0,,44,6,
1130,Vincent Rey,CIN,27,RLB,16,13,0,0,0,0,5,1,0,0,0,0,,66,67,
1131,Kendall Reyes,SDG,25,LDE,16,15,,,,,,,,,,,1.0,15,17,
1132,Chase Reynolds,STL,27,,15,0,,,,,,,,,,,,14,2,
1133,Dallas Reynolds,NYG,30,,15,0,,,,,,,,,,,,1,0,
1134,Garrett Reynolds,DET,27,,10,4,,,,,,1,0,0,0,0,,1,0,
1135,LaRoy Reynolds,JAX,24,,16,3,,,,,,0,0,1,0,0,,15,8,
1136,Xavier Rhodes,MIN,24,RCB,16,16,1,0,0,0,18,,,,,,,39,9,
1137,Paul Richardson,SEA,22,wr,15,6,,,,,,0,1,1,0,0,,1,0,
1138,Sean Richardson,GNB,24,,16,0,,,,,,,,,,,,22,4,
1139,Sheldon Richardson*,NYJ,24,RDE,16,16,0,0,0,0,1,1,0,1,0,0,8.0,42,24,1
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1140,Trent Richardson,IND,24,RB,15,12,,,,,,0,2,1,2,0,,1,0,
1141,Theo Riddick,DET,23,,14,2,,,,,,,,,,,,3,0,
1142,Perry Riley,WAS,26,RILB,14,14,0,0,0,0,4,1,0,0,0,0,2.0,60,34,
1143,Chad Rinehart,SDG,29,LG,16,16,,,,,,0,0,1,0,0,,,,
1144,Mychal Rivera,OAK,24,TE,16,10,,,,,,0,3,0,0,0,,2,0,
1145,Keith Rivers,BUF,28,,12,3,,,,,,,,,,,,11,5,
1146,Philip Rivers,SDG,33,QB,16,16,,,,,,0,8,5,-18,0,,,,
1147,Marcus Roberson,STL,,,9,2,1,18,0,18,1,,,,,,,9,1,
1148,Andre Roberts,WAS,26,,16,4,,,,,,0,4,2,0,0,,3,0,
1149,Craig Robertson,CLE,26,RILB,16,11,2,30,0,15,4,0,0,1,0,1,,57,42,
1150,Travian Robertson,3TM,26,,2,0,,,,,,,,,,,,0,1,
1151,Nickell Robey,BUF,22,db,16,7,0,0,0,0,8,0,0,2,2,0,1.0,38,9,
1152,Adrien Robinson,NYG,25,,16,1,,,,,,,,,,,,2,1,
1153,Allen Robinson,JAX,21,WR,10,8,,,,,,,,,,,,2,0,
1154,Denard Robinson,JAX,24,RB,13,9,,,,,,0,2,0,0,0,,3,0,
1155,Greg Robinson,STL,22,LT,16,12,,,,,,0,0,1,0,0,,2,0,
1156,Josh Robinson,MIN,23,mlb,16,5,3,22,0,23,8,,,,,,,38,2,
1157,Keenan Robinson,WAS,25,LILB,13,13,1,0,0,0,3,0,0,1,0,0,1.5,71,33,
1158,Luther Robinson,GNB,23,,5,0,0,0,0,0,1,,,,,,,1,1,
1159,Patrick Robinson,NOR,27,rb,14,6,2,2,0,2,11,,,,,,,32,7,
1160,Trent Robinson,WAS,24,,15,1,1,14,0,14,1,0,0,1,0,0,,20,9,
1161,Brian Robison,MIN,31,LDE,16,16,0,0,0,0,2,,,,,,4.5,15,7,
1162,Bradley Roby,DEN,22,,16,2,2,0,0,0,14,2,0,2,3,0,1.0,65,2,
1163,Courtney Roby,ATL,31,,4,0,,,,,,,,,,,,0,1,
1164,Aaron Rodgers*+,GNB,31,QB,16,16,,,,,,0,12,6,-25,0,,2,0,
1165,Jacquizz Rodgers,ATL,24,,16,1,,,,,,1,1,2,0,0,,3,0,
1166,Richard Rodgers,GNB,22,te,16,5,,,,,,0,0,1,0,0,,1,0,
1167,Dominique Rodgers-Cromartie,NYG,28,LCB,16,15,2,26,0,16,12,,,,,,,36,2,
1168,Ben Roethlisberger*,PIT,32,QB,16,16,,,,,,0,9,2,-41,0,,,,
1169,Carlos Rogers,OAK,33,lcb,7,7,0,0,0,0,2,1,0,0,0,0,,26,9,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1170,Justin Rogers,WAS,26,,3,0,,,,,,,,,,,,1,0,
1171,Antrel Rolle,NYG,32,SS,16,16,3,71,0,39,8,1,0,1,0,0,,71,16,
1172,Jumal Rolle,HOU,24,,10,0,3,25,0,13,4,,,,,,,17,2,
1173,Tony Romo*,DAL,34,QB,15,15,,,,,,0,9,4,-23,0,,1,0,
1174,Lowell Rose,MIA,24,,5,0,,,,,,,,,,,,1,0,
1175,Brandian Ross,OAK,25,SS,13,10,2,7,0,7,6,1,0,0,0,0,,40,15,
1176,Jeremy Ross,DET,26,WR,16,13,,,,,,0,5,3,0,0,,2,1,
1177,Eddie Royal,SDG,28,WR,16,11,,,,,,0,1,1,0,0,,2,0,
1178,Ahtyba Rubin,CLE,28,NT,13,11,0,0,0,0,1,,,,,,1.0,14,14,
1179,Frostee Rucker,ARI,31,rde,15,7,0,0,0,0,1,2,0,0,0,0,5.0,23,5,
1180,Jon Ryan,SEA,33,,16,0,,,,,,0,2,1,-15,0,,,,
1181,Logan Ryan,NWE,23,rcb,16,6,2,0,0,0,7,2,0,0,0,0,,33,13,
1182,DeMeco Ryans,PHI,30,LILB,8,8,1,0,0,0,4,0,1,1,0,0,,36,9,
1183,Rodger Saffold,STL,26,LG,16,16,,,,,,,,,,,,2,0,
1184,Greg Salas,NYJ,26,,10,2,,,,,,,,,,,,2,1,
1185,Garrison Sanborn,BUF,29,,16,0,,,,,,,,,,,,0,2,
1186,Mark Sanchez,PHI,28,QB,9,8,,,,,,0,7,3,-31,0,,,,
1187,Ace Sanders,JAX,23,,12,0,,,,,,0,2,1,0,0,,,,
1188,Emmanuel Sanders*,DEN,27,WR,16,16,,,,,,0,1,0,0,0,,1,0,
1189,Jamarca Sanford,2TM,29,,9,2,,,,,,,,,,,,13,3,
1190,Bishop Sankey,TEN,22,RB,16,9,,,,,,0,2,0,0,0,,1,0,
1191,Cairo Santos,KAN,23,,16,0,,,,,,,,,,,,1,0,
1192,Mohamed Sanu,CIN,25,WR,16,13,,,,,,0,0,1,0,0,,2,0,
1193,Dane Sanzenbacher,CIN,26,,10,1,1,6,0,6,1,0,1,0,0,0,,,,
1194,Ricky Sapp,HOU,28,,3,0,,,,,,,,,,,,2,1,
1195,Samson Satele,MIA,30,C,16,16,,,,,,0,0,1,0,0,,1,0,
1196,Jalen Saunders,4TM,22,,15,0,,,,,,0,2,1,0,0,,1,0,
1197,Tom Savage,HOU,24,,2,0,,,,,,0,2,1,-8,0,,,,
1198,Orlando Scandrick,DAL,27,RCB,14,14,2,2,0,2,9,2,0,0,0,0,1.0,56,7,
1199,Matt Schaub,OAK,33,,11,0,,,,,,0,3,1,0,0,,,,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1200,Colton Schmidt,BUF,24,,16,0,,,,,,,,,,,,3,0,
1201,O'Brien Schofield,SEA,27,,16,0,,,,,,1,0,1,0,0,2.0,18,7,
1202,Ryan Schraeder,ATL,26,RT,13,10,,,,,,0,0,1,0,0,,,,
1203,Brian Schwenke,TEN,23,C,11,11,,,,,,0,1,0,0,0,,3,0,
1204,Trevor Scott,CHI,30,,9,0,,,,,,,,,,,,1,1,
1205,Greg Scruggs,SEA,24,,3,0,,,,,,,,,,,,1,1,
1206,Da'Norris Searcy,BUF,26,SS,15,13,3,70,0,32,5,1,0,1,0,0,0.5,44,21,
1207,Austin Seferian-Jenkins,TAM,24,TE,9,9,,,,,,0,1,0,0,0,,1,0,
1208,Mohammed Seisay,DET,24,,4,5,,,,,,,,,,,,6,0,
1209,George Selvie,DAL,27,LDE,16,13,0,0,0,0,1,1,0,1,2,0,3.0,23,13,
1210,Andrew Sendejo,MIN,27,,16,3,,,,,,1,0,0,0,0,,20,7,
1211,Coty Sensabaugh,TEN,26,lcb,13,6,0,0,0,0,6,0,0,1,0,0,1.0,39,8,
1212,Darryl Sharpton,CHI,26,,5,2,0,0,0,0,1,,,,,,,10,5,
1213,Matt Shaughnessy,ARI,28,rolb,8,7,,,,,,,,,,,,13,5,
1214,Ryan Shazier,PIT,22,lilb,9,5,0,0,0,0,1,,,,,,,27,13,
1215,DeShawn Shead,SEA,26,,16,1,0,0,0,0,2,,,,,,,14,3,
1216,Jabaal Sheard,CLE,25,rolb,16,5,0,0,0,0,3,,,,,,2.0,25,19,
1217,Derrick Shelby,MIA,25,,15,0,1,2,0,2,1,0,0,1,0,0,3.0,21,5,
1218,Prince Shembo,ATL,23,,16,3,,,,,,,,,,,,32,26,
1219,Russell Shepard,TAM,24,,16,0,,,,,,,,,,,,14,0,
1220,Kelvin Sheppard,MIA,26,,14,1,,,,,,1,0,0,0,0,,17,7,
1221,Marcus Sherels,MIN,27,,16,0,,,,,,1,0,0,0,0,,8,1,
1222,Anthony Sherman,KAN,26,rb,16,6,,,,,,2,0,1,0,0,,13,0,
1223,Richard Sherman*+,SEA,26,LCB,16,16,4,81,0,53,11,1,0,0,0,0,,52,15,
1224,Derek Sherrod,GNB,25,,8,1,,,,,,0,0,1,0,0,,,,
1225,Sam Shields*,GNB,27,RCB,14,14,2,62,0,62,11,,,,,,,36,8,
1226,Kawann Short,CAR,25,LDT,16,9,0,0,0,0,2,1,0,2,0,0,3.5,22,24,
1227,Cecil Shorts,JAX,27,WR,13,12,,,,,,0,1,0,0,0,,4,0,
1228,Lawrence Sidbury,TAM,28,,1,0,,,,,,,,,,,,1,0,
1229,Sealver Siliga,NWE,24,rdt,7,5,,,,,,,,,,,2.5,21,23,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1230,John Simon,2TM,24,,11,0,0,0,0,0,1,,,,,,1.5,7,5,
1231,Tharold Simon,SEA,23,rcb,10,5,1,0,0,0,4,,,,,,,15,3,
1232,Scott Simonson,OAK,22,,4,0,,,,,,,,,,,,1,0,
1233,Charles Sims,TAM,24,,8,0,,,,,,0,2,0,0,0,,1,0,
1234,Dion Sims,MIA,23,,14,2,,,,,,0,0,1,0,0,,,,
1235,Eugene Sims,STL,28,,16,1,,,,,,0,0,1,0,0,3.0,23,5,
1236,Pat Sims,OAK,29,,16,2,0,0,0,0,1,,,,,,,17,8,
1237,Rob Sims,DET,31,LG,16,16,,,,,,0,0,1,0,0,,,,
1238,Deontae Skinner,NWE,24,,7,1,,,,,,,,,,,1.0,6,10,
1239,Buster Skrine,CLE,25,RCB,16,16,4,34,0,30,18,,,,,,,55,12,
1240,Dan Skuta,SFO,28,ROLB,14,10,0,0,0,0,1,3,0,0,0,0,5.0,25,8,
1241,Matt Slater*,NWE,29,,16,0,,,,,,,,,,,,14,4,
1242,Matt Slauson,CHI,28,lg,5,5,,,,,,,,,,,,1,0,
1243,Darius Slay,DET,23,LCB,16,16,2,42,0,40,18,,,,,,,49,13,
1244,Aldon Smith,SFO,25,rolb,7,6,,,,,,,,,,,2.0,10,5,
1245,Alex Smith,KAN,30,QB,15,15,,,,,,0,4,2,0,0,,2,0,
1246,Alfonso Smith,SFO,27,,6,0,,,,,,,,,,,,1,0,
1247,Andre Smith,CIN,27,RT,9,9,,,,,,,,,,,,1,0,
1248,Antone Smith,ATL,29,,10,0,,,,,,0,1,0,0,0,,2,0,
1249,Antonio Smith,OAK,33,RDT,16,16,,,,,,1,0,0,0,0,3.0,18,2,
1250,Brad Smith,PHI,31,,13,0,,,,,,0,0,1,6,0,,5,0,
1251,Chris Smith,JAX,22,,7,0,,,,,,1,0,0,0,0,3.0,3,2,
1252,Daryl Smith,BAL,32,RILB,16,16,1,0,0,0,10,5,0,1,39,0,1.0,81,63,
1253,Geno Smith,NYJ,24,QB,14,13,,,,,,1,8,5,-21,0,,2,0,
1254,Harrison Smith,MIN,25,FS,16,16,5,150,1,81,9,1,0,0,0,0,3.0,71,21,
1255,Jacquies Smith,TAM,24,lde,15,7,0,0,0,0,2,1,0,1,0,0,6.5,13,4,
1256,Jimmy Smith,BAL,26,RCB,8,8,1,31,0,31,8,,,,,,,22,6,
1257,Justin Smith,SFO,35,RDE,16,16,,,,,,2,0,1,0,0,5.0,28,15,
1258,Keith Smith,DAL,22,,10,0,,,,,,1,0,0,0,0,,7,1,
1259,Malcolm Smith,SEA,25,rlb,14,5,0,0,0,0,1,2,0,0,0,0,,27,13,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1260,Quanterus Smith,DEN,25,,15,0,0,0,0,0,2,,,,,,,7,4,
1261,Rodney Smith,CLE,24,,3,0,,,,,,,,,,,,1,0,
1262,Sean Smith,KAN,27,RCB,16,16,1,34,0,34,18,,,,,,,46,3,
1263,Steve Smith,BAL,35,WR,16,16,,,,,,0,1,0,0,0,,3,0,
1264,Telvin Smith,JAX,23,RLB,16,9,1,15,0,15,4,1,0,2,0,0,2.0,72,32,
1265,Torrey Smith,BAL,25,WR,16,16,,,,,,,,,,,,2,0,
1266,Nate Solder,NWE,26,LT,16,16,,,,,,0,0,1,0,0,,1,0,
1267,Paul Soliai,ATL,31,LDT,15,14,,,,,,,,,,,1.0,20,9,
1268,Scott Solomon,2TM,26,,8,0,,,,,,2,0,1,0,0,2.0,7,7,
1269,Daniel Sorensen,KAN,24,,9,0,,,,,,,,,,,,6,1,
1270,Dezmen Southward,ATL,24,,16,0,1,-5,0,-5,2,,,,,,1.0,16,7,
1271,Matt Spaeth,PIT,31,TE,15,8,,,,,,,,,,,,1,0,
1272,Akeem Spence,TAM,23,rt,16,5,,,,,,0,0,2,0,0,3.0,28,11,
1273,Sean Spence,PIT,25,LILB,16,9,,,,,,1,0,1,0,0,1.0,35,20,
1274,Anthony Spencer,DAL,30,,13,0,0,0,0,0,1,2,0,1,5,1,0.5,13,14,
1275,Brandon Spikes,BUF,27,MLB,16,10,0,0,0,0,3,1,0,0,0,0,1.0,32,22,
1276,C.J. Spiller,BUF,27,rb,9,5,,,,,,0,3,1,0,0,,,,
1277,C.J. Spillman,DAL,28,,16,0,,,,,,1,0,1,0,0,,15,5,
1278,Darren Sproles*,PHI,31,,15,0,,,,,,0,4,2,-7,0,,1,0,
1279,Daimion Stafford,TEN,23,,15,0,1,33,0,33,3,0,0,1,0,0,1.0,26,7,
1280,Matthew Stafford*,DET,26,QB,16,16,,,,,,0,10,3,-5,0,,3,0,
1281,Joe Staley*,SFO,30,LT,16,16,,,,,,,,,,,,1,0,
1282,Julian Stanford,DET,24,,14,0,,,,,,,,,,,,2,0,
1283,R.J. Stanford,MIA,26,,5,1,1,0,0,0,2,,,,,,,9,3,
1284,Drew Stanton,ARI,30,QB,9,8,,,,,,0,1,0,0,0,,1,0,
1285,Justin Staples,TEN,25,,6,0,,,,,,,,,,,,1,2,
1286,James Starks,GNB,28,,16,0,,,,,,0,1,0,0,0,,1,0,
1287,Randy Starks,MIA,31,LDT,15,15,0,0,0,0,1,0,0,1,0,0,4.5,19,9,
1288,Shamar Stephen,MIN,23,,16,3,,,,,,,,,,,,13,10,
1289,Darian Stewart,BAL,26,FS,16,14,1,0,0,0,6,1,0,1,0,0,,40,16,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1290,Jeremy Stewart,DEN,25,,6,0,,,,,,,,,,,,3,0,
1291,Jonathan Stewart,CAR,27,RB,13,8,,,,,,0,3,1,0,0,,1,0,
1292,Devon Still,CIN,25,,12,0,,,,,,,,,,,,11,8,
1293,Kenny Stills,NOR,22,wr,15,7,,,,,,0,1,0,0,0,,1,0,
1294,Byron Stingily,TEN,26,rt,10,5,,,,,,0,0,1,0,0,,,,
1295,Ed Stinson,ARI,23,,10,2,0,0,0,0,1,,,,,,,6,3,
1296,Luke Stocker,TAM,26,rb,13,7,,,,,,1,0,0,0,0,,4,0,
1297,Bryan Stork,NWE,24,C,13,11,,,,,,,,,,,,0,1,
1298,Rod Streater,OAK,26,,3,3,,,,,,,,,,,,1,0,
1299,Tommy Streeter,JAX,25,,2,0,,,,,,,,,,,,1,0,
1300,Zach Strief,NOR,31,RT,16,16,,,,,,0,0,1,0,0,,,,
1301,Darrell Stuckey*,SDG,27,,16,0,0,0,0,0,2,0,0,2,53,1,,18,9,
1302,Andy Studebaker,IND,29,,13,1,,,,,,1,0,1,0,0,,8,8,
1303,Nathan Stupar,ATL,26,,15,0,,,,,,,,,,,,8,2,
1304,Caleb Sturgis,MIA,25,,16,0,,,,,,,,,,,,3,0,
1305,Xavier Su'a-Filo,HOU,23,,13,1,,,,,,,,,,,,0,1,
1306,Ryan Succop,TEN,28,,16,0,,,,,,,,,,,,1,0,
1307,Zach Sudfeld,NYJ,25,,16,3,,,,,,,,,,,,10,5,
1308,Terrell Suggs,BAL,32,LOLB,16,16,0,0,0,0,2,0,0,1,0,0,12.0,39,30,1
1309,Ndamukong Suh*+,DET,27,RDE,16,16,0,0,0,0,3,,,,,,8.5,46,8,
1310,Vinnie Sunseri,NOR,21,,9,0,,,,,,,,,,,,3,2,
1311,Will Sutton,CHI,23,ldt,15,5,0,0,0,0,2,,,,,,,15,7,
1312,Will Svitek,TEN,32,,5,3,,,,,,,,,,,,1,0,
1313,Travis Swanson,DET,23,rg,16,5,,,,,,0,0,1,0,0,,1,0,
1314,D.J. Swearinger,HOU,23,SS,16,12,2,31,0,25,6,3,0,1,0,0,1.0,52,22,
1315,J.R. Sweezy,SEA,25,RG,16,16,,,,,,,,,,,,2,0,
1316,Will Ta'ufo'ou,JAX,28,,16,4,,,,,,,,,,,,7,1,
1317,Lorenzo Taliaferro,BAL,23,,13,0,,,,,,0,1,0,0,0,,3,1,
1318,Aqib Talib*,DEN,28,LCB,15,15,4,62,2,33,18,1,0,0,0,0,1.0,58,9,
1319,Jacob Tamme,DEN,29,,15,0,,,,,,0,1,1,0,0,,4,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1320,Keith Tandy,TAM,25,,15,0,1,3,0,3,1,,,,,,,8,0,
1321,Ryan Tannehill,MIA,26,QB,16,16,,,,,,0,10,4,-4,0,,3,0,
1322,Darryl Tapp,DET,30,,16,0,0,0,0,0,2,1,0,1,0,0,0.5,14,5,
1323,Jeff Tarpinian,HOU,27,,14,0,,,,,,1,0,0,0,0,,8,5,
1324,Brandon Tate,CIN,27,,16,4,,,,,,0,2,1,0,0,,2,0,
1325,Golden Tate*,DET,26,WR,16,16,,,,,,0,1,0,0,0,,3,0,
1326,Devin Taylor,DET,25,,16,0,,,,,,,,,,,1.0,12,4,
1327,Ike Taylor,PIT,34,fs,5,5,0,0,0,0,2,,,,,,,11,5,
1328,Jamar Taylor,MIA,24,,12,3,,,,,,,,,,,,31,0,
1329,Phil Taylor,CLE,26,,5,4,0,0,0,0,1,,,,,,,6,4,
1330,Ryan Taylor,3TM,27,,14,0,,,,,,,,,,,,2,0,
1331,Stepfan Taylor,ARI,23,,14,4,,,,,,,,,,,,3,0,
1332,Tyrod Taylor,BAL,25,,1,0,,,,,,,,,,,,1,0,
1333,Manti Te'o,SDG,23,lilb,10,6,1,0,0,0,3,,,,,,1.0,39,22,
1334,Steven Terrell,SEA,24,,4,0,,,,,,,,,,,,1,1,
1335,Adam Thielen,MIN,24,,16,2,,,,,,,,,,,,9,3,
1336,Marcus Thigpen,3TM,28,,9,0,,,,,,0,2,1,0,0,,,,
1337,Cam Thomas,PIT,28,RDE,16,9,,,,,,,,,,,0.5,11,8,
1338,Chase Thomas,SFO,25,,5,0,,,,,,,,,,,,3,0,
1339,De'Anthony Thomas,KAN,21,,12,3,,,,,,0,0,1,0,0,,,,
1340,Demaryius Thomas*,DEN,27,WR,16,16,,,,,,,,,,,,2,0,
1341,Earl Thomas*+,SEA,25,FS,16,16,1,47,0,47,8,4,1,1,0,0,,88,34,
1342,J.T. Thomas,JAX,26,MLB,16,10,2,10,0,10,5,2,0,1,0,1,,51,34,
1343,Joe Thomas*+,CLE,30,LT,16,16,,,,,,,,,,,,1,0,
1344,Josh Thomas,3TM,25,,5,0,0,0,0,0,2,,,,,,,2,0,
1345,Julius Thomas*,DEN,26,TE,13,10,,,,,,0,1,0,0,0,,3,0,
1346,Michael Thomas,MIA,25,,8,2,,,,,,,,,,,,15,3,
1347,Pierre Thomas,NOR,30,,11,3,,,,,,,,,,,,1,0,
1348,Shamarko Thomas,PIT,23,,11,0,,,,,,1,0,0,0,0,,7,0,
1349,Brandon Thompson,CIN,25,,11,0,,,,,,,,,,,1.0,12,13,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
